taxon_id,grouping,genus,species,type,habitat,original_name
Bolivina,,Bolivina,,,Bn,
Bulimina,,Bulimina,,,Bn,
B_marginat,,Bulimina,marginata,,Bn,
Calyptronm,,Calyptronema,,,Bn,
C_pachydrm,,Calyptronema,pachyderma,,Bn,
Cassidulin,,Cassidulina,,,Bn,
C_teretis,,Cassidulina,teretis,,Bn,
Cibicides,,Cibicides,,,Bn,
C_mabaheth,,Cibicides,mabahethi,,Bn,
Cibicidods,,Cibicidoides,,,Bn,
C_cictrcss,,Cibicidoides,cicatricosus,,Bn,
C_kullnbrg,,Cibicidoides,kullenbergi,,Bn,
C_lobatuls,,Cibicidoides,lobatulus,,Bn,
C_mckannai,,Cibicidoides,mckannai,,Bn,
C_mundulus,,Cibicidoides,mundulus,,Bn,
C_psedngrn,,Cibicidoides,pseudoungeriana,,Bn,
C_wllrstrf,,Cibicidoides,wuellerstorfi,,Bn,
Ehrenbergn,,Ehrenbergina,,,Bn,
Elphidium,,Elphidium,,,Bn,
E_batialis,,Elphidium,batialis,,Bn,
E_clavatum,,Elphidium,clavatum,,Bn,
Epistomnll,,Epistominella,,,Bn,
E_exigua,,Epistominella,exigua,,Bn,
G_tumida,,G.,tumida,,Pl,
Globigerin,,Globigerina,,,Pl,
G_bulloids,,Globigerina,bulloides,,Pl,
G_umbilict,,Globigerina,umbilicata,,Pl,
Globigrnds,,Globigerinoides,,,Pl,
G_ruber_p,,Globigerinoides,ruber,pink,Pl,
G_ruber_w,,Globigerinoides,ruber,white,Pl,
G_ruber,,Globigerinoides,ruber,,Pl,
Globcssdln,,Globocassidulina,,,Bn,
Globoconll,,Globoconella,,,Pl,
G_inflata,,Globoconella,inflata,,Pl,
Globorotal,,Globorotalia,,,Pl,
G_menardii_r,,Globorotalia,menardii,rings,Pl,
G_menardii,,Globorotalia,menardii,,Pl,
G_scitula,,Globorotalia,scitula,,Pl,
G_trnctlnd,,Globorotalia,truncatulinoides,,Pl,
G_crssfrms,,Globorotalia,crassaformis,,Pl,
Gyroidina,,Gyroidina,,,Bn,
Hplphrgmds,,Haplophragmoides,,,Pl,
H_fistulss,,Haplophragmoides,fistulosus,,Pl,G. fistulosus (oliver.etal2010)
Heterolepa,,Heterolepa,,,Bn,
H_bradyi,,Heterolepa,bradyi,,Bn,C. bradyii (oliver.etal2010)
Hoeglundin,,Hoeglundina,,,Bn,
H_elegans,,Hoeglundina,elegans,,Bn,
Melonis,,Melonis,,,Bn,
M_affinis,,Melonis,affinis,,Bn,M. barleanum (oliver.etal2010)
M_zaandami,,Melonis,zaandami,,Bn,
Neoglbqdrn,,Neogloboquadrina,,,Pl,
N_dutertre,,Neogloboquadrina,dutertrei,,Pl,G. dutertrei (oliver.etal2010)
N_incompta,,Neogloboquadrina,incompta,,Pl,
N_pachydrm_s,,Neogloboquadrina,pachyderma,sinistralis,Pl,N. pachyderma (left) (palmod)
N_pachydrm,,Neogloboquadrina,pachyderma,,Pl,
N_pachydrm_f,,Neogloboquadrina,pachyderma,strong freshwater influence,Pl,
Nuttallids,,Nuttallides,,,Bn,
N_umbonifr,,Nuttallides,umbonifera,,Bn,
Oridorsals,,Oridorsalis,,,Bn,
O_tenerus,,Oridorsalis,tenerus,,Bn,O. tener (oliver.etal2010)
Picouella,,Picouella,,,Bn,
P_corplnts,,Picouella,corpulentus,,Bn,C. corpulentus (oliver.etal2010)
Planulina,,Planulina,,,Bn,
P_arimnnss,,Planulina,ariminensis,,Bn,
P_foveolat,,Planulina,foveolata,,Bn,
P_rbrtsnns,,Planulina,robertsoniensis,,Bn,
Pulleniatn,,Pulleniatina,,,Pl,
P_oblqlclt,,Pulleniatina,obliquiloculata,,Pl,
Pyrgo,,Pyrgo,,,Bn,
P_murrhina,,Pyrgo,murrhina,,Bn,
Trilobatus,,Trilobatus,,,Pl,
T_sacculfr,,Trilobatus,sacculifer,,Pl,G. sacculifer (oliver.etal2010; palmod)
Turborotal,,Turborotalia,,,Pl,
T_amplprtr,,Turborotalia,ampliapertura,,Pl,G. pseudoampliapertura (oliver.etal2010)
T_quinqulb,,Turborotalita,quinqueloba,,Pl,
Uvigerina,,Uvigerina,,,Bn,
U_akitanss,,Uvigerina,akitaensis,,Bn,U. akita (palmod)
U_auberian,,Uvigerina,auberiana,,Bn,
U_costata,,Uvigerina,costata,,Bn,
U_excellns,,Uvigerina,excellens,,Bn,
U_hispida,,Uvigerina,hispida,,Bn,
U_hollicki,,Uvigerina,hollicki,,Bn,
U_meditrrn,,Uvigerina,mediterranea,,Bn,
U_peregrin,,Uvigerina,peregrina,,Bn,
U_senticos,,Uvigerina,senticosa,,Bn,
benthic,indeterminate benthic,,,,Bn,mixed (palmod); unknown (palmod)
planktic,indeterminate planktic,,,,Pl,
mx_Cib_Maff,mix: Cib. spp.; M. affinis,,,,Bn,mix: Cib. spp.; M. barleanum (oliver.etal2010)
mx_Cwuell_Nutt,mix: C. wuellerstorfi; Nutt. spp.,,,,Bn,
mx_Npachy_Gbull,mix: N. pachyderma (left); G. bulloides,,,,Pl,
mx_Npachy_Ndut,mix: N. pachyderma; N. dutertrei,,,,Pl,
mx_Nutt_Cib,mix: Nutt. spp.; Cib. spp.,,,,Bn,
