doi,citekey
10.1016/j.palaeo.2008.03.007,ahmad.etal2008
10.1006/qres.1998.1992,arz.etal1998
10.1029/2002pa000864,arz.etal2003
10.1029/2010pa002015,bahr.etal2011
10.1029/2010pa001966,bolliet.etal2011
10.1029/2004pa001047,bostock.etal2004
10.1016/j.gloplacha.2013.03.007,bouimetarhan.etal2013
10.1016/0012-821x(85)90154-2,boyle.keigwin1985
10.1029/2005pa001205,brunelle.etal2007
10.1016/j.quascirev.2006.10.004,cacho.etal2006
10.1130/g23455a.1,came.etal2007
10.1016/j.palaeo.2016.09.010,cappelli.etal2016
10.1130/g25080a.1,carlson.etal2008
10.1002/jqs.841,castaneda.etal2004
10.1016/0012-821x(96)00083-0,charles.etal1996
10.1029/1998pa900004,cortijo.etal1999
10.1029/pa002i005p00489,curry.crowley1987
10.1029/gm112p0059,curry.etal1999
10.1016/s0025-3227(03)00046-x,deabreu.etal2003a
10.1038/ngeo527,dickson.etal2009
10.1029/2007pa001511,diz.etal2007
10.1038/46753,dokken.jansen1999
10.1029/2004pa001116,duplessy.etal2005
10.1002/2013pa002599,fraser.etal2014
10.1029/2007pa001513,gebhardt.etal2008
10.1016/j.epsl.2014.11.051,gottschalk.etal2015
10.5194/cp-8-483-2012,govin.etal2012
10.1029/2004pa001094,holbourn.etal2005
10.1029/2011pa002155,hoogakker.etal2011
10.1144/jgs2013-097,hoogakker.etal2014
10.1016/j.quascirev.2014.10.022,jennings.etal2015
10.1002/2013gc004994,johnstone.etal2014
10.1016/j.epsl.2015.03.004,jonkers.etal2015
10.2973/odp.proc.sr.167.242.2000,kennett.etal2000
10.1016/j.yqres.2003.07.008,knies.vogt2003
10.1029/2003pa000894,koutavas.lynch-stieglitz2003
10.1016/j.palaeo.2008.07.010,kuhnt.etal2008
10.1016/j.quascirev.2005.11.010,lea.etal2006
10.1016/s0031-0182(96)00136-8,little.etal1997
10.1029/2000pa000538,lyle.etal2002
10.1029/2000pa000538,lyle.etal2002
10.1029/2008pa001717,lynch-stieglitz.etal2009
10.1029/2002pa000877,martinez.etal2003
10.5194/cp-10-591-2014,max.etal2014
10.1098/rsta.2004.1480,mccave.etal2005
10.1126/science.283.5404.971,mcmanus.etal1999
10.1111/j.1502-3885.2006.tb01112.x,millo.etal2008
10.2973/odp.proc.sr.138.160.1995,mix.etal1995
10.1029/2008pa001637,mulitza.etal2008
10.1029/93pa01162,nelson.etal1993
10.1016/j.epsl.2008.04.051,nurnberg.etal2008
10.1002/2014pa002706,nurnberg.etal2015
10.1029/2004pa001023,nurnberg.tiedemann2004
10.1002/jqs.843,oba.murayama2004
10.1016/j.quascirev.2006.07.006,oppo.etal2006
10.1130/g21867.1,oppo.sun2005
10.1126/science.1084451,pahnke.etal2003
10.1126/science.1102163,pahnke.zahn2005
10.1029/pa003i002p00157,pedersen.etal1988
10.1029/2004pa001001,pichevin.etal2005
10.1029/92pa00709,pichon.etal1992
10.1038/ngeo227,praetorius.etal2008
10.1029/2004gc000858,rickaby.elderfield2005
10.1002/palo.20014,riethdorf.etal2013
10.1029/158gm20,risebrobakken.etal2005
10.1073/pnas.1511252113,roberts.etal2016
10.5194/cp-10-293-2014,romahn.etal2014
10.1002/2014pa002727,ronge.etal2015
10.1038/990069,ruhlemann.etal1999
10.1016/j.quascirev.2009.05.007,saikku.etal2009
10.1029/2004pa001088,samson.etal2005
10.1029/pa003i003p00361,sarnthein.etal1988
10.1016/j.quascirev.2004.08.008,sarnthein.etal2004
10.1111/j.1502-3885.2003.tb01227.x,sarnthein.etal2008
10.1029/2012pa002365,schlung.etal2013
10.1016/s0921-8181(02)00197-2,schonfeld.etal2003
10.1029/gm032p0303,shackleton.pisias2013
10.1029/2004pa001051,sierro.etal2005
10.1029/2008pa001659,sikes.etal2009
10.1029/1999pa000375,stott.etal2000
10.1126/science.1071627,stott.etal2002
10.1126/science.1143791,stott.etal2007
10.1016/j.epsl.2014.11.031,tapia.etal2015
10.1029/2009pa001772,thornalley.etal2010
10.1029/2009pa001833,thornalley.etal2010a
10.1016/j.gloplacha.2010.06.003,thornalley.etal2011
10.1002/2016pa002932,ullermann.etal2016
10.1029/1999pa000464,vankreveld.etal2000
10.1029/2010gm001021,voelker.deabreu2011
10.1029/2009gc002605,voelker.etal2009
10.1029/2008pa001661,waddell.etal2009
10.1029/2010pa002007,waelbroeck.etal2011
10.1016/s0025-3227(98)00182-0,wang.etal1999
10.1029/1999pa900028,wang.etal1999a
10.1029/2000pa000560,weber.etal2001
10.1016/j.palaeo.2011.05.030,werner.etal2011
10.1002/palo.20028,werner.etal2013
10.1016/j.quascirev.2015.09.007,werner.etal2016
10.1029/1999pa000454,wollenburg.etal2001
10.1029/2006pa001278,xu.etal2006
10.1016/j.marmicro.2010.06.001,zarriess.mackensen2010
10.1029/2010pa001944,zarriess.mackensen2011
10.1038/ngeo277,ziegler.etal2008
10.1016/s0012-821x(99)00025-4,arz.etal1999
10.1016/s0967-0645(02)00101-7,freudenthal.etal2002
10.1038/422277b,oppo.etal2003
10.1029/93pa03301,sarnthein.etal1994
10.1016/j.epsl.2006.03.014,voelker.etal2006
10.1029/97pa02982,weaver.etal1998
10.2312/reports-sfb313.1996.61,jung1996
10.2312/reports-gpi.1998.90,kiefer1998
lv28_42_4,kaiser2002
v25_59,mix1986
